record_id,country,age,gender,marital,,,child_dependants,healthtype_3,healthtype_2,role,role_other,healthtype,screening_2,jobrole,,experience_1,experience_2,experience_3,experience_4,prevention_1,prevention_2,skills_1,skills_2,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,social_influence_1,social_influence_2,social_influence_3,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3,
451,Uganda,26,Female,Single (never married),,,3,entebbe,private,Medical doctor,,Other,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,somewhat agree,disagree,somewhat disagree,agree,agree,agree,somewhat agree,strongly agree.,somewhat agree,strongly agree.,somewhat agree,NA,agree,strongly agree.,strongly agree.,somewhat agree,strongly agree.,somewhat disagree,some of the time,all of the time,most of the time,
452,Uganda,27,Female,Married,,,None,Wakiso,private,Nurse,,Medical unit,more than one day per week,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,at no time,at no time,at no time,
453,Uganda,25,Male,Single (never married),,,None,Wakiso,private,Nurse,,Medical unit,more than one day per week,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,agree,strongly agree.,agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,all of the time,most of the time,most of the time,
454,Uganda,25,Female,Single (never married),,,2,WAKISO,private,Medical doctor,,Medical unit,daily,Fulltime,,Yes,No,Yes,Yes,Yes,NA,disagree,agree,somewhat agree,strongly disagree,strongly disagree,neither agree nor disagree,strongly agree.,somewhat agree,strongly disagree,neither agree nor disagree,strongly disagree,agree,somewhat agree,agree,somewhat agree,strongly agree.,strongly agree.,somewhat disagree,strongly agree.,disagree,some of the time,some of the time,some of the time,
455,Uganda,27,Female,Civil partnership,,,1,Wakiso,private,Midwife,,Other,NA,Fulltime,,NA,NA,NA,NA,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,NA,strongly agree.,strongly agree.,strongly disagree,somewhat agree,strongly disagree,strongly disagree,strongly agree.,all of the time,all of the time,all of the time,
456,Uganda,26,Female,Separated,,,1,Wakiso,private,Nurse,,surgical,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,some of the time,some of the time,some of the time,
457,Uganda,32,Female,Married,,,2,Wakiso,private,Nurse,,Medical unit,daily,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,agree,all of the time,all of the time,all of the time,
458,Uganda,27,Female,Single (never married),,,3,Wakiso,private,Medical doctor,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,somewhat agree,agree,disagree,somewhat disagree,NA,strongly agree.,somewhat agree,disagree,disagree,strongly disagree,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,somewhat disagree,most of the time,most of the time,most of the time,
459,Uganda,28,Female,Living with partner,,,None,Wakiso,private,Nurse,,emergency,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,most of the time,most of the time,most of the time,
460,Uganda,30,Female,Single (never married),,,Prefer not to say,Wakiso,private,Nurse,,emergency,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,at no time,at no time,at no time,
461,Uganda,37,Female,Separated,,,1,Wakiso,private,Midwife,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
462,Uganda,22,Female,Single (never married),,,None,Wakiso,private,Midwife,,emergency,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,strongly agree.,all of the time,all of the time,all of the time,
463,Uganda,23,Female,Single (never married),,,None,Wakiso,private,Midwife,,surgical,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
464,Uganda,27,Female,Single (never married),,,1,Wakiso,private,Administrative,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
465,Uganda,25,Female,Single (never married),,,None,Wakiso,private,Other,,Medical unit,NA,Fulltime,,No,No,Yes,No,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,all of the time,all of the time,some of the time,
466,Uganda,29,Female,Single (never married),,,None,Wakiso ,private,Administrative,,Other,more than one day per week,Fulltime,,Unsure,Unsure,Yes,Yes,Yes,Yes,neither agree nor disagree,agree,strongly agree.,disagree,agree,somewhat disagree,agree,strongly agree.,agree,strongly agree.,agree,strongly agree.,agree,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,more than half of the time,less than half of the time,less than half of the time,
467,Uganda,25,Female,Living with partner,,,None,Wakiso,private,Midwife,,maternity,more than one day per week,Fulltime,,Yes,Unsure,Yes,Yes,Yes,Yes,disagree,agree,agree,agree,agree,somewhat disagree,agree,somewhat agree,agree,somewhat agree,somewhat disagree,strongly agree.,NA,strongly agree.,agree,agree,agree,somewhat disagree,somewhat agree,somewhat disagree,all of the time,most of the time,most of the time,
468,Uganda,26,Female,Living with partner,,,None,Wakiso,private,Nurse,,Other,more than one day per week,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,somewhat agree,strongly disagree,strongly agree.,agree,somewhat agree,agree,agree,agree,somewhat agree,agree,neither agree nor disagree,agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,agree,somewhat agree,some of the time,all of the time,most of the time,
469,Uganda,23,Female,Prefer not to say,,,2,Wakiso,private,Administrative,,Other,daily,part time,,No,No,Yes,No,Yes,No,neither agree nor disagree,strongly agree.,strongly agree.,agree,agree,somewhat disagree,strongly agree.,agree,agree,NA,neither agree nor disagree,agree,NA,strongly agree.,strongly agree.,neither agree nor disagree,somewhat agree,somewhat agree,NA,agree,all of the time,all of the time,all of the time,
470,Uganda,31,Female,Married,,,2,Kampala,private,Administrative,,Other,daily,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,somewhat agree,strongly agree.,strongly agree.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly agree.,somewhat agree,somewhat agree,strongly agree.,disagree,strongly agree.,disagree,agree,somewhat agree,agree,agree,strongly agree.,somewhat agree,somewhat disagree,at no time,some of the time,some of the time,
471,Uganda,24,Female,Single (never married),,,None,Wakiso,private,Nurse,,Medical unit,daily,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,somewhat agree,agree,agree,agree,agree,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,at no time,at no time,at no time,
472,Uganda,23,Male,Living with partner,,,1,Entebbe,private,Other,,Other,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,agree,strongly agree.,all of the time,all of the time,all of the time,
473,Uganda,24,Female,Single (never married),,,None,Wakiso,private,Nurse,,Medical unit,daily,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,somewhat agree,agree,agree,agree,agree,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,at no time,at no time,at no time,
474,Uganda,23,Female,Single (never married),,,None,Wakiso,private,Midwife,,surgical,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
475,Uganda,25,Male,Single (never married),,,3,Wakiso,private,Other,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
476,Uganda,26,Male,Single (never married),,,None,Wakiso,private,Medical doctor,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,somewhat agree,somewhat agree,agree,agree,somewhat disagree,disagree,agree,agree,agree,agree,somewhat agree,agree,agree,agree,agree,agree,most of the time,all of the time,most of the time,
477,Uganda,27,Female,Married,,,1,Wakiso,private,Administrative,,Other,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,all of the time,all of the time,all of the time,
478,Uganda,27,Female,Single (never married),,,1,Wakiso,private,Administrative,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
479,Uganda,26,Male,Single (never married),,,None,Entebbe-wakiso,private,Other,,Other,daily,Fulltime,,No,Unsure,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,neither agree nor disagree,at no time,at no time,at no time,
480,Uganda,27,Female,Single (never married),,,1,Wakiso,private,Administrative,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
481,Uganda,22,Female,Single (never married),,,None,Wakiso,private,Nurse,,Medical unit,daily,Fulltime,,Yes,Yes,NA,NA,NA,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,NA,disagree,disagree,all of the time,all of the time,all of the time,
482,Uganda,23,Female,Single (never married),,,Prefer not to say,Wakiso,private,Midwife,,Other,daily,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,disagree,agree,strongly agree.,somewhat disagree,agree,disagree,strongly agree.,somewhat disagree,somewhat agree,agree,somewhat disagree,agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,disagree,all of the time,some of the time,some of the time,
483,Uganda,29,Male,Living with partner,,,1,Wakiso,private,Medical doctor,,Medical unit,more than one day per week,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,disagree,strongly agree.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,NA,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,more than half of the time,more than half of the time,more than half of the time,
484,Uganda,27,Female,Single (never married),,,1,Wakiso,private,Administrative,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
485,Uganda,24,Female,Single (never married),,,1,Wakiso,private,Administrative,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
486,Uganda,23,Female,Single (never married),,,2,Wakiso ,private,Midwife,,Medical unit,daily,Fulltime,,No,No,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,agree,disagree,all of the time,all of the time,all of the time,
487,Uganda,25,Male,Single (never married),,,None,Lira ,public,Allied health professional,Not applicable ,Laboratory,more than one day per week,part time,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly agree.,NA,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,somewhat agree,somewhat agree,agree,more than half of the time,more than half of the time,more than half of the time,
488,Uganda,27,Male,Married,,,3,Kampala,private,Other,,Other,daily,Fulltime,,Yes,No,No,No,No,NA,strongly disagree,strongly disagree,somewhat disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
489,Uganda,25,Female,Single (never married),,,3,Kamuli ,public,Social worker/counsellor,,Medical unit,daily,casual or locum staff,,Unsure,Unsure,No,No,NA,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly disagree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,at no time,at no time,at no time,
490,Uganda,26,Female,Married,,,2,Kamuli,public,Social worker/counsellor,,Other,daily,Fulltime,,No,No,Yes,Yes,Yes,Yes,disagree,disagree,strongly agree.,disagree,agree,disagree,agree,agree,disagree,disagree,agree,agree,disagree,agree,agree,agree,agree,disagree,agree,disagree,some of the time,some of the time,some of the time,
491,Uganda,21,Female,NA,,,NA,,NA,Other,,Other,NA,NA,,No,No,No,No,Yes,NA,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat agree,somewhat disagree,somewhat agree,somewhat disagree,NA,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,more than half of the time,most of the time,more than half of the time,
492,Uganda,34,Male,Married,,,4,Multiple across the North and East,public,Other,,Other,NA,other,,No,No,Yes,No,Yes,No,disagree,somewhat agree,somewhat agree,strongly disagree,strongly agree.,somewhat agree,agree,somewhat disagree,somewhat disagree,somewhat agree,somewhat agree,agree,somewhat agree,strongly agree.,neither agree nor disagree,strongly agree.,strongly agree.,agree,strongly agree.,somewhat agree,less than half of the time,less than half of the time,less than half of the time,
493,Uganda,36,Male,Married,,,2,Kitgum,private,Social worker/counsellor,,Other,daily,part time,,No,No,Yes,No,Yes,Yes,strongly agree.,agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,agree,agree,agree,strongly agree.,disagree,disagree,agree,some of the time,some of the time,some of the time,
494,Uganda,36,Male,Married,,,2,Kitgum,private,Social worker/counsellor,,Other,daily,part time,,No,No,Yes,No,Yes,Yes,strongly agree.,agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,agree,agree,agree,strongly agree.,disagree,disagree,agree,some of the time,some of the time,some of the time,
495,Uganda,36,Male,Married,,,2,Kitgum,private,Social worker/counsellor,,Other,daily,part time,,No,No,Yes,No,Yes,Yes,strongly agree.,agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,agree,agree,agree,strongly agree.,disagree,disagree,agree,some of the time,some of the time,some of the time,
496,Uganda,27,Female,Single (never married),,,None,Gulu,public,Social worker/counsellor,,paediatric,NA,part time,,No,No,Yes,No,Yes,No,agree,agree,somewhat agree,agree,somewhat agree,agree,agree,somewhat agree,somewhat agree,agree,neither agree nor disagree,agree,somewhat agree,somewhat agree,somewhat agree,agree,agree,agree,NA,somewhat agree,some of the time,some of the time,some of the time,
497,Uganda,34,Male,Separated,,,1,Kamuli,public,Other,,Laboratory,daily,Fulltime,,No,No,Unsure,No,Yes,No,disagree,strongly disagree,strongly agree.,disagree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,agree,neither agree nor disagree,agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,agree,agree,somewhat disagree,agree,agree,more than half of the time,most of the time,all of the time,
498,Uganda,35,Male,Married,,,2,Kamuli,public,Allied health professional,,Laboratory,more than one day per week,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,somewhat agree,disagree,disagree,somewhat disagree,NA,somewhat disagree,disagree,neither agree nor disagree,neither agree nor disagree,strongly agree.,somewhat agree,somewhat agree,neither agree nor disagree,strongly disagree,agree,strongly disagree,strongly disagree,neither agree nor disagree,disagree,somewhat disagree,at no time,less than half of the time,at no time,
499,Uganda,32,Male,Married,,,3,Kamuli,public,Nurse,,Medical unit,more than one day per week,Fulltime,,No,No,Yes,Yes,Yes,Yes,disagree,strongly agree.,strongly agree.,disagree,agree,agree,agree,agree,agree,disagree,disagree,agree,disagree,agree,agree,strongly agree.,strongly agree.,disagree,somewhat agree,disagree,at no time,more than half of the time,at no time,
500,Uganda,35,Female,Married,,,3,Kamuli,public,Allied health professional,None,Medical unit,daily,Fulltime,,No,No,No,No,Yes,No,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,disagree,somewhat agree,strongly agree.,strongly agree.,somewhat agree,agree,disagree,strongly agree.,strongly agree.,at no time,at no time,most of the time,
501,Uganda,35,Female,Married,,,3,Kamuli,public,Allied health professional,None,Medical unit,daily,Fulltime,,No,No,No,No,Yes,No,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,disagree,somewhat agree,strongly agree.,strongly agree.,somewhat agree,agree,disagree,strongly agree.,strongly agree.,at no time,at no time,most of the time,
502,Uganda,27,Female,Single (never married),,,3,Gulu,public,Other,,Other,NA,casual or locum staff,,No,No,No,No,Yes,No,agree,agree,agree,somewhat agree,agree,agree,strongly agree.,agree,agree,disagree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,somewhat agree,most of the time,most of the time,most of the time,
503,Uganda,25,Male,Single (never married),,,5+,Gulu,public,Other,,Other,NA,student,,No,No,No,No,Yes,No,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,some of the time,some of the time,some of the time,
504,Uganda,25,Female,Single (never married),,,None,Bweyogerere,private,Allied health professional,None,Laboratory,daily,Fulltime,,No,No,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
505,Uganda,29,Female,Living with partner,,,3,Amuru,private,Nurse,,Medical unit,daily,Fulltime,,Yes,No,No,No,Yes,No,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,most of the time,all of the time,all of the time,
506,Uganda,50,Female,Widowed,,,3,Wakiso,public,Nurse,,Medical unit,daily,Fulltime,,No,No,Yes,No,Yes,No,disagree,agree,agree,agree,agree,agree,agree,disagree,agree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,at no time,most of the time,most of the time,
507,Uganda,50,Female,Widowed,,,3,Wakiso,public,Nurse,,Medical unit,daily,Fulltime,,No,No,Yes,No,Yes,No,disagree,agree,agree,agree,agree,agree,agree,disagree,agree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,at no time,most of the time,most of the time,
508,Uganda,24,Female,Single (never married),,,2,Gulu,public,Social worker/counsellor,,isolation ward,more than one day per week,student,,Unsure,No,No,No,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,disagree,all of the time,all of the time,all of the time,
509,Uganda,34,Female,Married,,,2,Wakiso,public,Social worker/counsellor,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,No,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,all of the time,all of the time,all of the time,
510,Uganda,38,Female,Married,,,2,Wakiso ,public,Nurse,,Palliative Care,daily,Fulltime,,No,No,Yes,No,Yes,Yes,agree,agree,strongly agree.,agree,agree,strongly disagree,strongly agree.,strongly agree.,strongly agree.,disagree,agree,agree,agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly disagree,agree,agree,at no time,all of the time,all of the time,
511,Uganda,42,Male,Married,,,4,Wakiso,public,Nurse,,Medical unit,daily,Fulltime,,Yes,No,Yes,No,Yes,Yes,somewhat agree,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
512,Uganda,45,Male,Married,,,5+,Wakiso,public,Allied health professional,Lab volunteer,Medical unit,daily,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,agree,agree,agree,somewhat agree,agree,agree,agree,agree,agree,somewhat agree,agree,agree,agree,agree,agree,agree,agree,somewhat agree,agree,agree,at no time,at no time,some of the time,
513,Uganda,33,Female,Living with partner,,,3,Wakiso,public,Nurse,,Medical unit,daily,Fulltime,,No,No,Yes,No,Yes,No,disagree,agree,agree,disagree,agree,disagree,strongly agree.,agree,disagree,somewhat agree,disagree,somewhat agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,strongly disagree,strongly disagree,at no time,all of the time,all of the time,
514,Uganda,33,Female,Living with partner,,,3,Wakiso,public,Nurse,,Medical unit,daily,Fulltime,,No,No,Yes,No,Yes,No,disagree,agree,agree,disagree,agree,disagree,strongly agree.,agree,disagree,somewhat agree,disagree,somewhat agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,strongly disagree,strongly disagree,at no time,all of the time,all of the time,
515,Uganda,23,Female,Single (never married),,,NA,Wakiso,public,Nurse,,Medical unit,daily,Fulltime,,No,No,Yes,No,Yes,No,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,NA,strongly agree.,strongly agree.,strongly agree.,agree,disagree,agree,strongly agree.,all of the time,all of the time,all of the time,
516,Uganda,44,Female,Married,,,2,Wakiso,public,Midwife,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,somewhat disagree,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,agree,at no time,at no time,at no time,
