Record ID,Age,Kindly indicate your gender,What is your current marital status?,Educational level completed,Kindly Specify,Number of child dependents in the household below 18 years,Which region do you work in?,What type of facility are you primarily stationed at?,What is your current job role?,Select the unit within the hospital that most closely matches the job that you do,Kindly indicate the professional group you belong to,How many days in the previous month did you have any direct patient contact (touching or speaking in-person)?,What is your current engagement type with the hospital?,For how many years have you been seeing patients as a professional?,"Have you previously worked in a clinical setting during an acute respiratory epidemic or pandemic, for example, H1N1 (2009)?","In a clinical setting, did you personally care for patients with suspected or confirmed infection caused by a novel respiratory pathogen for example, H1N1?",Has a patient with suspected or confirmed COVID-19 attended the hospital in which you work?,Have you personally cared for a patient with suspected or confirmed COVID-19 infection? ,What was your most recent type of contact with a suspected/confirmed COVID-19 case?,I am confident that the hospital where I work can MANAGE CURRENT patient demand related to COVID-19,I am confident that the hospital where I work can CONTINUE TO MANAGE patient demand related to COVID-19 over the next 3 months,"I have received general training for infection, prevention, and control procedures for communicable diseases",I have received sufficient training in the Infection Prevention and Control (IPC)  practices specifically for COVID-19,I am confident in my ability to correctly don and doff personal protective equipment to prevent transmission of COVID-19 to others and myself,"I am confident that I am able to follow recommended procedures related to personal protective equipment (PPE) for COVID-19 e.g. appropriate use and disposal of gloves, apron and fluid resistant surgical mask",I consider that the implementation of protective procedures at work are effective to prevent the spread of COVID-19 in my hospital,Following the IPC recommendations will protect me from becoming ill with COVID-19,Following recommended IPC procedures adds significant additional strain to my workload,"I will always use the recommended personal protective equipment (medical mask, eye protection, gown and gloves) when taking care of patients with suspected or confirmed COVID-19 when I have access to these",There are clear policies and protocols in my hospital for everyone to follow related to IPC procedures for COVID-19,"I can easily access personal protective equipment (PPE) in line with standard infection control precautions, such as gloves, apron and masks, for COVID-19 in the hospital where I work",In my hospital there are dedicated isolation facilities for patients with COVID-19,"I know who to contact if I have trouble with PPE, or if I have a body fluid exposure/ unprotected contact with a confirmed case of COVID-19","The hospital where I work receives good support from national/ regional/municipal/district/assembly/local public health authorities, who provide guidance and training on how to manage COVID-19","Most of my colleagues regularly follow infection, prevention and control measures (for example, regular hand washing, use of personal protective equipment, proper disposal of equipment)","It is expected that in my role as a healthcare professional, I will follow IPC measures",I am encouraged and supported by other staff to apply recommendedIPC measures,I am concerned about the risk to myself of becoming ill with COVID-19,I am concerned about the risk to my family related to COVID-19 because of my job role,I am afraid of looking after patients who are ill with COVID-19,I accept that the risk of getting COVID-19 is part of my job,Whether I get infected with COVID-19 or not is within my control,The health facility where I work has the capacity to manage COVID-19,The management of the health facility where I work are being honest with staff when managing COVID-19,The management of the health facility where I work would act in the best interest of its staff when managing COVID-19
1751,41,,"Living with another (Married, Partnership)",Masters,,5,GREATER ACCRA,District hospital,Physician Assistant,Surgical Unit,,Almost every day of the month,Fulltime,16,Unsure,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree
1752,25,,Prefer not to say,Diploma,,2,GREATER ACCRA,Health Center (Government),Allied health professionals,Disease Control,ENVIRONMENTAL HEALTH,About one day in the month,Prefer not to say,1,No,Unsure,Unsure,Unsure,,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree
1753,24,,Living alone,First Degree,,0,ASHANTI,Health Center (Government),Physician Assistant,OPD,,No more than three days during each week,Voluntary,5,Yes,Yes,Unsure,No,,Strongly disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
1754,34,,"Living with another (Married, Partnership)",First Degree,,2,UPPER WEST,District hospital,Physician Assistant,OPD,,Almost every day of the month,Fulltime,8,No,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1755,32,,"Living with another (Married, Partnership)",First Degree,,2,UPPER EAST,District hospital,Physician Assistant,Surgical Unit,,Almost every day of the month,Fulltime,6,Yes,No,Yes,No,,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree
1756,30,,Living alone,Masters,,0,GREATER ACCRA,Private Clinic,Physician Assistant,Medical Unit,,About one day in the month,Voluntary,8,No,No,No,No,,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
1757,27,,Living alone,First Degree,,8,GREATER ACCRA,Private Hospital,Allied health professionals,Laboratory,Infection Prevention ,Almost every day of the month,Fulltime,2,No,No,Unsure,No,,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree
1758,35,,Prefer not to say,First Degree,,1,GREATER ACCRA,Private Hospital,Physician Assistant,Surgical Unit,,Almost every day of the month,Long-Term Contract (>12mths),10,Yes,Yes,Yes,No,,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree
1759,27,,Living alone,Diploma,,4,VOLTA,Health Center (Government),Allied health professionals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,26,,Prefer not to say,Diploma,,4,GREATER ACCRA,Health Center (Government),Allied health professionals,Disease Control,Environmental health,Almost every day of the month,Casual or locum staff,4,No,No,No,Yes,Unsure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree
1761,26,,Prefer not to say,Diploma,,4,GREATER ACCRA,Health Center (Government),Allied health professionals,Disease Control,Environmental health,Almost every day of the month,Casual or locum staff,4,No,Unsure,No,Yes,Unsure,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
1762,30,,"Living with another (Married, Partnership)",Diploma,,1,AHAFO,CHAG Facility,Nurse,OPD,,Almost every day of the month,Fulltime,4,No,Yes,Yes,Yes,Unsure,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
1763,26,,Living alone,First Degree,,0,ASHANTI,Private Clinic,Allied health professionals,OPD,Therapist,Almost every day of the month,Long-Term Contract (>12mths),2,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somwhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree
1764,32,,"Living with another (Married, Partnership)",First Degree,,4,UPPER WEST,District hospital,Physician Assistant,Surgical Unit,,Almost every day of the month,Fulltime,8,No,No,Yes,No,,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree
1765,30,,Living alone,First Degree,,3,ASHANTI,District hospital,Physician Assistant,Medical Unit,,Just about one day during each week,Prefer not to say,1,Yes,Yes,No,No,,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somwhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somwhat agree
1766,34,,"Living with another (Married, Partnership)",Other,MBBS,1,GREATER ACCRA,Teaching hospital,Medical Doctor,Medical Unit,,No more than three days during each week,Prefer not to say,1,No,No,Yes,No,,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree
1767,24,,Living alone,First Degree,,0,GREATER ACCRA,Private Hospital,Allied health professionals,Laboratory,Medical laboratory scientist,Almost every day of the month,Casual or locum staff,1,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,47,,"Living with another (Married, Partnership)",Diploma,,2,GREATER ACCRA,Regional hospital,Allied health professionals,Surgical Unit,GACRA,No more than three days during each week,Fulltime,15,Yes,No,Yes,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree
1770,36,,"Living with another (Married, Partnership)",First Degree,,2,GREATER ACCRA,Regional hospital,Physician Assistant,Surgical Unit,,No more than three days during each week,Fulltime,12,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree
1771,33,,"Living with another (Married, Partnership)",Masters,,2,AHAFO,Private Hospital,Medical Doctor,Medical Unit,,Almost every day of the month,Long-Term Contract (>12mths),9,No,No,No,No,,Somewhat disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
1772,33,,"Living with another (Married, Partnership)",Masters,,7,GREATER ACCRA,Teaching hospital,Medical Doctor,Imaging Unit,,Almost every day of the month,Fulltime,8,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree
1773,26,,Living alone,First Degree,,3,EASTERN,CHPS compound,Allied health professionals,Nutrition/Dietetics,Health Care provider,No more than three days during each week,Long-Term Contract (>12mths),3,No,No,No,No,,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree
1774,30,,Living alone,First Degree,,2,EASTERN,CHAG Facility,Nurse,RCH,,About one day in the month,Fulltime,7,Yes,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Somwhat agree,Strongly disagree,Strongly disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
1775,25,,Living alone,Diploma,,0,BONO,Regional hospital,Physician Assistant,Pediatric,,Almost every day of the month,Short-term contract (<13mths),5,No,Yes,Yes,No,,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
1776,25,,Living alone,First Degree,,0,GREATER ACCRA,Private Clinic,Allied health professionals,OPD,Physiotherapy ,Almost every day of the month,Voluntary,1,No,No,No,No,,Somwhat agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree
1777,40,,"Living with another (Married, Partnership)",Masters,,3,EASTERN,CHAG Facility,Nurse,Surgical Unit,,,Fulltime,16,Yes,Yes,Yes,No,,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree
1778,25,,Living alone,First Degree,,0,NORTHERN,Teaching hospital,Medical Doctor,Obstetrics and Gynecology/ Maternity,,Almost every day of the month,Short-term contract (<13mths),1,No,No,Yes,No,,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree
1779,46,,"Living with another (Married, Partnership)",Masters,,2,GREATER ACCRA,Teaching hospital,Pharmacist,Pharmacy,,No more than three days during each week,Fulltime,14,Yes,No,Yes,No,,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
1780,26,,Living alone,First Degree,,0,GREATER ACCRA,Private Clinic,Allied health professionals,Surgical Unit,Allied Health ,Almost every day of the month,Fulltime,1,No,No,No,No,,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree
1781,1990,,"Living with another (Married, Partnership)",First Degree,,1,GREATER ACCRA,District hospital,Pharmacist,Pharmacy,,Almost every day of the month,Fulltime,7,No,No,Yes,No,,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree
1782,3,,Prefer not to say,First Degree,,3,ASHANTI,District hospital,Allied health professionals,Laboratory,GAMLS,No more than three days during each week,Prefer not to say,10,No,No,Yes,No,,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree
1783,24,,Living alone,First Degree,,0,GREATER ACCRA,Regional hospital,Allied health professionals,Imaging Unit,Allied Health Profession Council,Almost every day of the month,Short-term contract (<13mths),2,Yes,Yes,No,No,,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree
1784,27,,Living alone,First Degree,,0,ASHANTI,District hospital,Allied health professionals,Imaging Unit,Allied health professionals ,Almost every day of the month,Long-Term Contract (>12mths),2,No,No,Yes,No,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly disagree,Somwhat agree,Somwhat agree
1785,24,,Prefer not to say,First Degree,,0,GREATER ACCRA,District hospital,Allied health professionals,OPD,Physiotherapists,Almost every day of the month,Part time,1,No,No,Yes,No,,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somewhat disagree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree
1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,35,,Living alone,Diploma,,0,EASTERN,District hospital,Allied health professionals,Disease Control,Ghana Association of Public Health Technical Offic,About one day in the month,Fulltime,11,Yes,No,Yes,No,,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree
1788,28,,"Living with another (Married, Partnership)",Diploma,,1,BONO EAST,CHAG Facility,Allied health professionals,Surgical Unit,Registered Dental Surgery Assistant,Almost every day of the month,Long-Term Contract (>12mths),3,No,No,Yes,No,,Somwhat agree,Somwhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree
1789,25,,Living alone,First Degree,,2,GREATER ACCRA,Academic (University) hospital,Allied health professionals,OPD,Rehabilitation,Almost every day of the month,Fulltime,2,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree
1790,28,,"Living with another (Married, Partnership)",Other,Tertiary ,0,ASHANTI,Teaching hospital,Allied health professionals,OPD,Health records management ,About one day every 2 weeks,Fulltime,2,Yes,Yes,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree
1791,29,,Living alone,Masters,,0,WESTERN,Private Hospital,Allied health professionals,Imaging Unit,RADIOGRAPHER/SONOGRAPHER,Almost every day of the month,Fulltime,4,No,No,Yes,Yes,Direct Contact with COVID-19 patients,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somwhat agree,Strongly agree,Somwhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somwhat agree,Neither agree nor disagree,Strongly agree,Somwhat agree,Neither agree nor disagree,Somwhat agree,Somwhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
1792,24,,Living alone,First Degree,,0,ASHANTI,Health Center (Government),Physician Assistant,Medical Unit,,Almost every day of the month,Fulltime,2,No,No,Yes,Yes,Unsure,Strongly disagree,Strongly disagree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree
1793,28,,Living alone,Diploma,,0,GREATER ACCRA,Health Center (Government),Allied health professionals,Disease Control,Environment Health ,About one day in the month,Casual or locum staff,1,No,No,No,No,,Strongly disagree,Strongly disagree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somwhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somwhat agree
1794,37,,Prefer not to say,First Degree,,3,ASHANTI,Academic (University) hospital,Nurse,OPD,,Almost every day of the month,Fulltime,6,Unsure,No,Yes,Yes,There are positive COVID-19 patients in the same facility but no direct contact,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Somwhat agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somwhat agree,Somwhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree
