record_id,age,gender,role,role_other,healthtype,healthtype_2,healthtype_3,screening,screening_2,jobrole,marital,child_dependants,adult_dependants,experience_1,experience_2,experience_3,experience_4,prevention_1,prevention_2,skills_1,skills_2,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,social_influence_1,social_influence_2,social_influence_3,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3,
577,28,Male,Nurse,,Other,private,Amuru,Yes,daily,Fulltime,Living with partner,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,disagree,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,strongly disagree,all of the time,all of the time,more than half of the time,
578,30,Female,Nurse,,Other,public,North Gulu,Yes,daily,Fulltime,Prefer not to say,2,Yes,Yes,No,Yes,No,Yes,Yes,strongly disagree,somewhat agree,strongly agree.,strongly agree.,agree,agree,strongly agree.,agree,agree,agree,disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat disagree,somewhat agree,agree,at no time,at no time,most of the time,
579,30,Female,Nurse,,Other,public,North Gulu,Yes,daily,Fulltime,Prefer not to say,2,Yes,Yes,No,Yes,No,Yes,Yes,strongly disagree,somewhat agree,strongly agree.,strongly agree.,agree,agree,strongly agree.,agree,agree,agree,disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat disagree,somewhat agree,agree,at no time,at no time,most of the time,
580,32,Female,Midwife,,Other,private,Amuru,Yes,daily,Fulltime,Married,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,most of the time,most of the time,most of the time,
581,35,Male,Allied health professional,Laboratory technician,Laboratory,public,GULU CITY,No,NA,Fulltime,Married,3,no,No,No,Yes,No,Yes,Yes,somewhat disagree,somewhat disagree,neither agree nor disagree,somewhat agree,agree,somewhat agree,somewhat agree,strongly disagree,disagree,disagree,disagree,disagree,strongly disagree,neither agree nor disagree,somewhat disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,some of the time,less than half of the time,less than half of the time,
582,36,Female,Nurse,,maternity,public,Gulu city,Yes,daily,Fulltime,Married,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,strongly agree.,agree,agree,agree,strongly disagree,strongly disagree,most of the time,most of the time,most of the time,
583,41,Female,Consultant,,surgical,public,Kampala,Yes,daily,Fulltime,Married,4,Yes,No,No,Yes,Yes,Yes,Yes,agree,strongly agree.,agree,agree,agree,agree,agree,somewhat agree,somewhat agree,agree,somewhat agree,strongly agree.,agree,agree,agree,agree,agree,agree,somewhat agree,somewhat agree,some of the time,most of the time,most of the time,
584,45,Male,Allied health professional,,Other,public,Nakaseke,Yes,more than one day per week,Fulltime,Living with partner,5+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,somewhat agree,strongly agree.,strongly agree.,NA,NA,NA,NA,NA,agree,agree,agree,agree,agree,NA,NA,agree,most of the time,NA,NA,
585,23,Female,Nurse,,Palliative Care,public,Gulu,Yes,daily,Fulltime,Married,3,Yes,Yes,Yes,Yes,Yes,Yes,No,strongly disagree,strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
586,23,Female,Nurse,,Palliative Care,public,Gulu,Yes,daily,Fulltime,Married,3,Yes,Yes,Yes,Yes,Yes,Yes,No,strongly disagree,strongly disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
587,26,Female,Midwife,,maternity,private,Kitgum,Yes,NA,Fulltime,Single (never married),5+,no,Yes,Yes,Yes,Yes,Yes,Yes,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,agree,strongly agree.,somewhat agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,agree,agree,all of the time,all of the time,all of the time,
588,25,Female,Administrative,,Other,private,Kawempe,No,NA,other,Prefer not to say,Prefer not to say,Yes,No,No,No,No,No,No,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,some of the time,some of the time,some of the time,
589,31,Female,Midwife,,paediatric,public,Kitgum,Yes,more than one day per week,Fulltime,Married,5+,Yes,No,No,Yes,Yes,Yes,Yes,disagree,agree,strongly agree.,agree,disagree,disagree,agree,agree,strongly disagree,disagree,somewhat agree,disagree,agree,strongly agree.,agree,strongly disagree,strongly disagree,agree,strongly disagree,agree,some of the time,all of the time,all of the time,
590,31,Male,Medical doctor,,Medical unit,private,Gulu City,No,NA,part time,Prefer not to say,2,Yes,No,No,Yes,No,Yes,NA,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree.,agree,neither agree nor disagree,strongly disagree,strongly disagree,agree,somewhat disagree,neither agree nor disagree,somewhat disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat disagree,at no time,less than half of the time,some of the time,
591,32,Male,Allied health professional,Laboratory scientist,Laboratory,private,Apac,Yes,daily,Fulltime,Married,1,no,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,strongly agree.,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,disagree,strongly disagree,most of the time,most of the time,most of the time,
592,35,Male,Allied health professional,Laboratory technician,Laboratory,private,Apac,Yes,daily,Fulltime,Married,1,no,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,agree,agree,strongly disagree,agree,agree,agree,agree,agree,agree,disagree,strongly disagree,most of the time,most of the time,most of the time,
593,25,Female,Nurse,,maternity,private,Gulu,Yes,daily,Fulltime,Living with partner,2,no,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,some of the time,most of the time,most of the time,
594,38,Female,Administrative,,Other,private,Bwebajja,No,NA,Fulltime,Married,3,Yes,No,No,Yes,No,Yes,NA,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree.,disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,disagree,somewhat agree,most of the time,all of the time,all of the time,
595,24,Female,Other,,Other,private,Namulundu medical center,Yes,daily,part time,Living with partner,None,no,Yes,No,Yes,Yes,Yes,Yes,agree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,at no time,at no time,at no time,
596,27,Female,Nurse,,Medical unit,public,Wakiso,Yes,daily,Fulltime,Married,None,prefer not to say,Unsure,No,Unsure,Unsure,Yes,No,somewhat agree,strongly disagree,agree,somewhat agree,agree,agree,strongly agree.,somewhat agree,somewhat agree,strongly disagree,strongly disagree,strongly disagree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,less than half of the time,less than half of the time,less than half of the time,
597,24,Male,Nurse,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,Yes,No,Yes,Yes,Yes,No,agree,agree,agree,strongly agree.,agree,somewhat agree,agree,agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,agree,agree,agree,agree,somewhat agree,somewhat agree,neither agree nor disagree,less than half of the time,less than half of the time,less than half of the time,
598,36,Female,Administrative,,Medical unit,private,Wakiso,Yes,daily,casual or locum staff,Living with partner,4,no,No,No,No,No,Yes,Yes,strongly disagree,strongly disagree,somewhat agree,NA,strongly agree.,strongly disagree,strongly agree.,somewhat agree,disagree,strongly agree.,strongly disagree,agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,somewhat agree,some of the time,at no time,at no time,
599,21,Female,Nurse,,infectious disease ward,private,Wakiso,Yes,daily,student,Single (never married),1,Yes,Unsure,No,Yes,No,Yes,Yes,strongly disagree,strongly disagree,somewhat agree,strongly agree.,strongly agree.,strongly disagree,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,at no time,some of the time,some of the time,
600,28,Female,Other,,Other,private,Wakiso,No,NA,Fulltime,Single (never married),None,no,No,No,Yes,No,Yes,Yes,somewhat agree,agree,agree,strongly disagree,agree,agree,agree,agree,agree,disagree,strongly disagree,strongly disagree,agree,strongly disagree,agree,agree,agree,agree,agree,agree,at no time,all of the time,some of the time,
601,34,Male,Administrative,,Other,private,Bwebajja ,No,NA,other,Living with partner,2,no,Unsure,Unsure,Unsure,Unsure,Not sure,Not sure,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,all of the time,all of the time,all of the time,
602,22,Male,Other,,Other,private,Bwebajja Entebbe road,Yes,daily,Fulltime,Single (never married),None,no,No,No,Yes,Yes,Yes,No,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,agree,disagree,disagree,agree,NA,strongly agree.,strongly agree.,agree,agree,disagree,strongly disagree,strongly disagree,some of the time,some of the time,all of the time,
603,30,Female,Administrative,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Married,3,no,No,No,Yes,No,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,some of the time,some of the time,some of the time,
604,18,Female,Other,,Other,private,Wakiso,No,NA,Fulltime,Single (never married),None,no,No,No,No,No,Yes,No,strongly disagree,disagree,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,some of the time,most of the time,most of the time,
605,28,Female,Midwife,,maternity,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,No,No,Yes,Yes,Yes,No,agree,agree,strongly agree.,NA,strongly agree.,agree,strongly agree.,neither agree nor disagree,strongly disagree,strongly disagree,agree,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,agree,strongly agree.,agree,less than half of the time,less than half of the time,less than half of the time,
606,45,Female,Administrative,,Medical unit,private,wakiso,Yes,daily,Fulltime,Separated,3,NA,No,No,No,No,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,some of the time,all of the time,
607,32,Male,NA,,Medical unit,private,Bwebajja,Yes,daily,Fulltime,Married,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,most of the time,most of the time,most of the time,
608,28,Female,NA,,NA,NA,Gullu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
609,24,Male,Allied health professional,,Laboratory,private,Wakiso,Yes,more than one day per week,Fulltime,Single (never married),None,Yes,No,No,No,No,Yes,Yes,strongly disagree,strongly disagree,agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,somewhat agree,disagree,strongly disagree,agree,somewhat agree,agree,agree,agree,agree,strongly disagree,agree,strongly disagree,all of the time,all of the time,all of the time,
610,28,Female,NA,,NA,NA,Gullu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
611,24,Male,Allied health professional,Laboratory Technician,Medical unit,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,Yes,No,No,No,No,Yes,Yes,strongly disagree,strongly disagree,agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,somewhat agree,disagree,strongly disagree,agree,somewhat agree,agree,agree,agree,agree,strongly disagree,agree,strongly disagree,all of the time,all of the time,all of the time,
612,32,Male,Other,,Other,private,Wakiso ,Yes,daily,Fulltime,Married,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,most of the time,most of the time,most of the time,
613,26,Female,Nurse,,isolation ward,public,Gulu,Yes,daily,Fulltime,Living with partner,1,prefer not to say,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,some of the time,some of the time,some of the time,
614,28,Female,Midwife,,maternity,private,Gulu,Yes,NA,Fulltime,Widowed,3,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
615,25,Male,Medical doctor,,Medical unit,private,Entebbe,Yes,daily,part time,Single (never married),1,NA,Yes,No,No,No,Yes,No,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,somewhat agree,strongly agree.,somewhat agree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,some of the time,some of the time,less than half of the time,
616,52,Male,Administrative,,Medical unit,NA,Wakiso ,No,NA,Fulltime,Married,3,Yes,No,No,No,No,No,No,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,at no time,at no time,some of the time,
617,28,Male,Social worker/counsellor,,Laboratory,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree.,strongly agree.,strongly disagree,strongly disagree,strongly disagree,strongly agree.,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
618,32,Male,Other,,Other,private,Wakiso ,Yes,daily,Fulltime,Married,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,most of the time,most of the time,most of the time,
619,33,Male,Nurse,,surgical,private,Kitgum,Yes,daily,Fulltime,Married,3,no,NA,Yes,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,agree,strongly agree.,disagree,strongly agree.,agree,agree,strongly agree.,somewhat disagree,strongly agree.,somewhat agree,strongly agree.,agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,disagree,most of the time,more than half of the time,more than half of the time,
620,34,Male,Allied health professional,Radiographer ,Other,private,Wakiso,Yes,daily,Fulltime,Married,2,no,Yes,Yes,Yes,No,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat agree,strongly disagree,somewhat agree,all of the time,all of the time,all of the time,
621,26,Female,Nurse,,Medical unit,private,Wakiso,Yes,more than one day per week,Fulltime,Single (never married),5+,Yes,No,No,Yes,Yes,Yes,No,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,somewhat agree,agree,somewhat agree,agree,somewhat disagree,somewhat disagree,agree,agree,agree,agree,agree,agree,all of the time,less than half of the time,most of the time,
622,28,Male,Medical doctor,,Medical unit,private,Wakiso/Kawuku,Yes,daily,casual or locum staff,Single (never married),None,NA,No,No,Yes,Yes,Yes,Yes,strongly agree.,agree,agree,somewhat disagree,agree,somewhat disagree,agree,agree,disagree,agree,strongly disagree,agree,disagree,agree,agree,agree,disagree,strongly disagree,strongly agree.,strongly agree.,some of the time,most of the time,most of the time,
623,26,Female,Midwife,,maternity,private,Gulu uganda,Yes,daily,Fulltime,Single (never married),2,no,Yes,No,Yes,Yes,Yes,Yes,agree,agree,agree,strongly agree.,strongly agree.,strongly disagree,strongly agree.,NA,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly disagree,strongly agree.,agree,all of the time,all of the time,some of the time,
624,28,Male,Allied health professional,Laboratory Assistant,Laboratory,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,No,No,No,No,No,No,somewhat agree,somewhat agree,disagree,disagree,somewhat disagree,somewhat agree,agree,disagree,disagree,strongly disagree,strongly disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,at no time,at no time,at no time,
625,29,Female,Nurse,,Medical unit,private,Wakiso ,Yes,more than one day per week,Fulltime,Married,2,Yes,No,Yes,No,Yes,Yes,No,somewhat disagree,strongly agree.,agree,agree,strongly agree.,strongly disagree,strongly agree.,agree,somewhat disagree,strongly disagree,strongly disagree,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,disagree,agree,disagree,at no time,all of the time,all of the time,
626,28,Female,Administrative,,Other,private,Wakiso,Yes,daily,Fulltime,Living with partner,1,Yes,No,No,No,No,Yes,Yes,agree,agree,agree,agree,agree,somewhat agree,agree,agree,somewhat agree,NA,disagree,somewhat agree,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
627,24,Female,Midwife,,maternity,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,no,Yes,No,No,No,Yes,Yes,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,at no time,
628,38,Male,NA,,Laboratory,private,wakiso,Yes,more than one day per week,part time,Married,2,Yes,Yes,No,Yes,Yes,Yes,No,agree,agree,agree,disagree,agree,disagree,strongly agree.,agree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly agree.,strongly agree.,agree,agree,agree,somewhat agree,disagree,disagree,at no time,at no time,some of the time,
629,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
630,21,Female,Midwife,,maternity,private,Wakiso,Yes,daily,Fulltime,Single (never married),Prefer not to say,Yes,No,No,Unsure,Yes,Yes,Not sure,somewhat agree,strongly agree.,somewhat agree,agree,agree,agree,agree,strongly agree.,agree,strongly disagree,disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,neither agree nor disagree,neither agree nor disagree,at no time,more than half of the time,more than half of the time,
631,38,Male,Other,,Laboratory,private,wakiso,Yes,more than one day per week,part time,Married,2,Yes,Yes,Yes,Yes,Yes,Yes,No,agree,somewhat agree,agree,disagree,agree,somewhat agree,strongly agree.,agree,disagree,disagree,strongly disagree,strongly disagree,agree,strongly agree.,agree,agree,agree,somewhat agree,disagree,strongly disagree,at no time,at no time,less than half of the time,
632,30,Male,Allied health professional,Radiology,Medical unit,private,wakiso,Yes,daily,Fulltime,Single (never married),None,Yes,Yes,Yes,Yes,Yes,Yes,NA,neither agree nor disagree,somewhat agree,strongly agree.,somewhat disagree,strongly agree.,neither agree nor disagree,strongly agree.,somewhat agree,somewhat agree,strongly disagree,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,strongly disagree,strongly agree.,neither agree nor disagree,less than half of the time,more than half of the time,all of the time,
633,28,Male,Allied health professional,Medical Clinical officer ,Medical unit,private,Wakiso,Yes,daily,Fulltime,Living with partner,None,Yes,Unsure,No,Unsure,Unsure,Yes,NA,strongly disagree,agree,strongly agree.,disagree,agree,strongly disagree,strongly agree.,disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,agree,strongly agree.,all of the time,all of the time,all of the time,
634,25,Female,Midwife,,maternity,private,Gulu,Yes,daily,Fulltime,Married,3,no,Yes,No,No,No,Yes,No,strongly disagree,somewhat agree,somewhat agree,strongly disagree,somewhat agree,neither agree nor disagree,strongly agree.,agree,disagree,strongly disagree,strongly disagree,agree,somewhat agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,somewhat agree,strongly agree.,somewhat disagree,most of the time,most of the time,most of the time,
635,28,Male,Social worker/counsellor,,Laboratory,private,Wakiso,Yes,daily,Fulltime,Single (never married),None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly agree.,strongly agree.,strongly disagree,strongly disagree,strongly disagree,strongly agree.,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
636,30,NA,Consultant,,Medical unit,public,Kitgum ,Yes,daily,part time,NA,5+,Yes,No,No,No,No,No,No,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
637,25,Male,Nurse,,Other,private,kitgum,Yes,daily,Fulltime,Single (never married),None,Yes,No,No,Yes,No,Yes,No,strongly disagree,agree,disagree,disagree,strongly disagree,strongly agree.,strongly agree.,agree,disagree,disagree,neither agree nor disagree,agree,somewhat agree,agree,agree,strongly agree.,strongly agree.,agree,strongly agree.,disagree,at no time,at no time,at no time,
638,23,Female,Midwife,,maternity,private,Central Uganda, buikwe district,Yes,more than one day per week,Fulltime,Single (never married),None,no,Yes,Yes,Yes,Unsure,Yes,Yes,somewhat agree,somewhat agree,somewhat agree,strongly agree.,strongly agree.,agree,agree,somewhat agree,agree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,agree,somewhat agree,agree,agree,neither agree nor disagree,neither agree nor disagree,NA,more than half of the time,more than half of the time,more than half of the time
639,23,Female,Midwife,,maternity,private,Central Uganda, buikwe district,Yes,more than one day per week,Fulltime,Single (never married),None,no,Yes,Yes,Yes,Unsure,Yes,Yes,somewhat agree,somewhat agree,somewhat agree,strongly agree.,strongly agree.,agree,agree,somewhat agree,agree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,agree,somewhat agree,agree,agree,neither agree nor disagree,neither agree nor disagree,NA,more than half of the time,more than half of the time,more than half of the time
640,23,Female,Midwife,,maternity,private,Central Uganda, buikwe district,Yes,more than one day per week,Fulltime,Single (never married),None,no,Yes,Yes,Yes,Unsure,Yes,Yes,somewhat agree,somewhat agree,somewhat agree,strongly agree.,strongly agree.,agree,agree,somewhat agree,agree,somewhat agree,somewhat agree,somewhat disagree,somewhat agree,agree,somewhat agree,agree,agree,neither agree nor disagree,neither agree nor disagree,NA,more than half of the time,more than half of the time,more than half of the time
641,34,Male,Midwife,,Medical unit,private,Wakiso,Yes,daily,Fulltime,Married,2,NA,No,No,No,No,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
642,31,Female,Administrative,,Medical unit,private,Kampala,Yes,daily,Fulltime,Single (never married),None,no,No,Yes,Yes,Yes,Yes,Yes,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,less than half of the time,all of the time,all of the time,
643,47,Male,Medical doctor,,Medical unit,private,Kampala,Yes,more than one day per week,Fulltime,Married,3,no,Yes,No,Yes,Yes,Yes,Yes,agree,agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,strongly agree.,neither agree nor disagree,agree,somewhat agree,strongly agree.,strongly agree.,agree,strongly agree.,somewhat disagree,at no time,some of the time,some of the time,
644,25,Female,Allied health professional,Laboratory,Medical unit,private,Wakiso,Yes,daily,part time,Single (never married),None,no,No,No,No,No,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,all of the time,all of the time,all of the time,
645,60,Male,Allied health professional,None,Laboratory,private,Kampala,Yes,daily,Fulltime,Married,1,no,Unsure,Yes,Yes,Unsure,Yes,No,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly disagree,strongly agree.,agree,agree,disagree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,disagree,at no time,all of the time,all of the time,
646,35,Female,Other,,Other,public,Kampala ,Yes,daily,other,Married,1,Yes,Yes,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
647,25,Female,Other,,Other,private,Kampala,Yes,daily,Fulltime,Single (never married),5+,no,No,No,Yes,No,Yes,Yes,agree,agree,agree,agree,agree,strongly disagree,agree,agree,somewhat agree,strongly disagree,agree,agree,strongly agree.,strongly agree.,agree,agree,agree,agree,agree,agree,less than half of the time,all of the time,all of the time,
648,35,Female,Administrative,,Medical unit,private,Kampala,Yes,daily,Fulltime,Married,None,no,No,No,No,No,Yes,Yes,agree,agree,agree,somewhat agree,strongly agree.,agree,somewhat agree,disagree,somewhat disagree,disagree,somewhat agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,somewhat agree,all of the time,all of the time,all of the time,
