,d_carer_b,consent,willing,d_region_c_o,d_age_i,d_gender,d_edu_c_o,d_hosp_c_u,d_marital_c_u,d_chdn_i,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,d_aware_novel,d_getting_infected,d_contacting_coronavirus,d_consider_yourself,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,e_contact_type_c_o,e_aerosol_c_o,i_n95_c_o,i_mask_c_o,i_hand_hyg_c_o,i_gown_c_o,i_apron_c_o,i_full_suit_c_o,i_gloves_c_o,i_eye_protect_c_o,i_sing_use_eqps_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,b_manage,b_honest_manage,b_dir_interest
1356,Yes,Yes,Yes,Douala,28,Female,High School Diploma,Lucrative private health Facility,Living alone,4,Health Assistants,Other,Almost every day of the month,Short-term contract (< 13mths),< 1 year,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
1357,Yes,Yes,Yes,Douala,34,Female,Post-Secondary School/SSS/SHS Certificate,NA,Living with another (Married - Partnership),1,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
1358,Yes,Yes,Yes,Douala,20,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),1,Health Assistants,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree
1359,Yes,Yes,Yes,Douala,24,Female,First University Degree,Lucrative private health Facility,Living alone,1,Nurse,Other,Almost every day of the month,Short-term contract (< 13mths),< 1 year,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
1360,Yes,Yes,Yes,Douala,25,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),1,Nurse,Other,Almost every day of the month,Fulltime,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[1]  Extremely unlikely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree
1361,Yes,Yes,Yes,Yaounde,52,Female,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),5,Medical Doctor,Medical Unit,Almost every day of the month,Fulltime,More than 15 years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1362,Yes,Yes,Yes,Yaounde,30,Female,High School Diploma,Unlucrative private Health facility,Living alone,4,Nurse,Medical Unit,Almost every day of the month,Part time,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1363,Yes,Yes,Yes,Yaounde,45,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Nurse,Medical Unit,Almost every day of the month,Part time,11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1364,Yes,Yes,Yes,Yaounde,35,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),3,Allied health professionals,Other,Almost every day of the month,Part time,6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1365,Yes,Yes,Yes,Yaounde,32,Female,High School Diploma,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Health Assistants,Other,Almost every day of the month,Part time,6 to 10 years,No,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1366,Yes,Yes,Yes,Yaounde,39,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Nurse,Matches the job that you do Surgical Unit,Almost every day of the month,Fulltime,More than 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1367,Yes,Yes,Yes,Yaounde,27,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,4,Health Assistants,Other,Almost every day of the month,Part time,< 1 year,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1368,Yes,Yes,Yes,Yaounde,33,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,3,Health Assistants,Medical Unit,Almost every day of the month,Part time,6 to 10 years,Yes,[2],[2],[2],No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1369,Yes,Yes,Yes,Yaounde,42,Female,Secondary School/SHS/SSS or Lower,Unlucrative private Health facility,Living alone,3,Health Assistants,Maternity,Almost every day of the month,Part time,More than 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1370,Yes,Yes,Yes,Yaounde,30,Female,High School Diploma,Unlucrative private Health facility,Living alone,1,Midwife,Maternity,Almost every day of the month,Part time,2 to 5  years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1371,Yes,Yes,Yes,Yaounde,32,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,5,Midwife,Maternity,Almost every day of the month,Part time,6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1372,Yes,Yes,Yes,Yaounde,50,Male,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Health Assistants,Other,Almost every day of the month,Fulltime,More than 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1373,Yes,Yes,Yes,Yaounde,32,Female,High School Diploma,Unlucrative private Health facility,Living alone,3,Nurse,Matches the job that you do Surgical Unit,Almost every day of the month,Part time,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1374,Yes,Yes,Yes,Yaounde,45,Male,High School Diploma,Unlucrative private Health facility,Living with another (Married - Partnership),5,Allied health professionals,Other,Almost every day of the month,Fulltime,6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1375,Yes,Yes,Yes,Yaounde,33,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Prefer not to say,4,Midwife,Maternity,Almost every day of the month,Part time,11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1376,Yes,Yes,Yes,Yaounde,28,Male,High School Diploma,Unlucrative private Health facility,Living alone,2,Allied health professionals,Other,Almost every day of the month,Part time,6 to 10 years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1377,Yes,Yes,Yes,Yaounde,47,Female,High School Diploma,Unlucrative private Health facility,Living alone,More than 5,Medical Doctor,Outpatient department,Almost every day of the month,Part time,More than 15 years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
1378,Yes,Yes,Yes,Yaounde,24,Male,High School Diploma,Unlucrative private Health facility,Living alone,2,Nurse Assistant Clinical,Outpatient department,Almost every day of the month,Part time,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1379,Yes,Yes,Yes,Yaounde,46,Male,High School Diploma,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Nurse,Other,Almost every day of the month,Fulltime,More than 15 years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1380,Yes,Yes,Yes,Yaounde,28,Female,High School Diploma,Unlucrative private Health facility,Living alone,1,Nurse,Medical Unit,Almost every day of the month,Fulltime,< 1 year,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1381,Yes,Yes,Yes,Yaounde,40,Male,High School Diploma,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Allied health professionals,Other,Almost every day of the month,Fulltime,6 to 10 years,Yes,[1]  Extremely unlikely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1382,Yes,Yes,Yes,Yaounde,35,Female,High School Diploma,Unlucrative private Health facility,Living with another (Married - Partnership),5,Nurse,Medical Unit,Almost every day of the month,Part time,11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1383,Yes,Yes,Yes,Yaounde,35,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Prefer not to say,5,Nurse,Medical Unit,Almost every day of the month,Part time,6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1384,Yes,Yes,Yes,Yaounde,22,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,1,Nurse Assistant Clinical,Medical Unit,Almost every day of the month,Part time,< 1 year,Yes,[5],[6],[5],No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1385,Yes,Yes,Yes,Yaounde,33,Female,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),2,Medical Doctor,Medical Unit,Almost every day of the month,Fulltime,11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1386,Yes,Yes,Yes,Yaounde,29,Male,First University Degree,Unlucrative private Health facility,Living alone,1,Allied health professionals,Other,Almost every day of the month,Part time,2 to 5  years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1387,Yes,Yes,Yes,Yaounde,34,Male,High School Diploma,Unlucrative private Health facility,Prefer not to say,5,Allied health professionals,Other,Almost every day of the month,Prefer not to say,2 to 5  years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1388,Yes,Yes,Yes,Yaounde,27,Female,High School Diploma,Unlucrative private Health facility,Living alone,3,Health Assistants,Medical Unit,Almost every day of the month,Part time,2 to 5  years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1389,Yes,Yes,Yes,Yaounde,29,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,3,Health Assistants,Medical Unit,Almost every day of the month,Part time,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1390,Yes,Yes,Yes,Yaounde,25,Male,High School Diploma,Unlucrative private Health facility,Living alone,1,Health Assistants,Medical Unit,Almost every day of the month,Part time,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1391,Yes,Yes,Yes,Yaounde,24,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,1,Health Assistants,Medical Unit,Almost every day of the month,Prefer not to say,< 1 year,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1392,Yes,Yes,Yes,Yaounde,28,Male,First University Degree,Unlucrative private Health facility,Living alone,2,Health Assistants,Medical Unit,Almost every day of the month,Part time,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1393,Yes,Yes,Yes,Yaounde,40,Male,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),5,Nurse,Matches the job that you do Surgical Unit,Almost every day of the month,Fulltime,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1394,Yes,Yes,Yes,Yaounde,45,Male,Masters,Lucrative private health Facility,Living with another (Married - Partnership),5,Medical Doctor,Medical Unit,Almost every day of the month,Fulltime,More than 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1395,Yes,Yes,Yes,Yaounde,44,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Separated/ Divorced/ Widowed,3,Health Assistants,Other,Almost every day of the month,Part time,11 to 15 years,Yes,[1]  Extremely unlikely,[6],[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1396,Yes,Yes,Yes,Yaounde,27,Female,Masters,Lucrative private health Facility,Living alone,1,Allied health professionals,Other,Almost every day of the month,Part time,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1397,Yes,NA,Yes,Yaounde,31,Female,High School Diploma,Lucrative private health Facility,Living alone,1,Health Assistants,Other,Almost every day of the month,Fulltime,6 to 10 years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
1398,NA,Yes,Yes,Yaounde,28,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),3,Physician Assistant,Outpatient department,No more than three days during each week,Part time,2 to 5  years,Yes,[4],[4],[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree
