d_carer_b,consent,willing,d_region_c_o,d_age_i,d_gender,d_edu_c_o,d_hosp_c_u,d_marital_c_u,d_chdn_i,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,b_manage,b_honest_manage,b_dir_interest,d_media_covid_v2,i_journals
Yes,Yes,Yes,Douala,42,Male,PhD,Lucrative private health Facility,Living with another (Married - Partnership),5,Medical Doctor,Other,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Douala,24,Male,First University Degree,Lucrative private health Facility,Living alone,1,Nurse,Medical Unit,Almost every day of the month,Fulltime,< 1 year,No,No,Yes,Unsure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,2,1,-1,-2,1,1,1,NA
Yes,Yes,Yes,Douala,30,Male,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,Yes,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,1,1,1,-2,1,1,2,NA
Yes,Yes,Yes,Douala,30,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,No,No,Yes,Unsure,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,2,1,1,-2,1,1,2,NA
NA,Yes,Yes,Douala,36,Male,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,0,1,1,-2,1,2,2,NA
NA,Yes,Yes,Douala,30,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Allied health professionals,Other,No more than three days during each week,Long-Term Contract (>12mths),2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,2,1,1,-2,1,1,1,NA
Yes,Yes,Yes,Douala,42,Male,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),4,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,2,1,1,-2,1,1,2,NA
Yes,Yes,Yes,Douala,29,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,1,1,1,-2,1,1,2,NA
Yes,Yes,Yes,Douala,48,Female,NA,Lucrative private health Facility,Living with another (Married - Partnership),1,Health Assistants,Other,Almost every day of the month,Fulltime,More than 15 years,Yes,No,No,No,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,-1,2,-2,-2,2,2,1,NA
Yes,Yes,Yes,Douala,30,Female,Post-Secondary School/SSS/SHS Certificate,NA,Living with another (Married - Partnership),5,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,No,No,No,No,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,-2,2,-2,-1,2,2,1,NA
Yes,Yes,Yes,Douala,20,Female,Post-Secondary School/SSS/SHS Certificate,NA,NA,1,Health Assistants,Other,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Yes,Yes,Yes,Douala,47,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,3,Nurse,Maternity,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Douala,30,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,2,Health Assistants,Other,Almost every day of the month,Fulltime,< 1 year,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,28,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Nurse,Medical Unit,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,36,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,2,Health Assistants,Medical Unit,Almost every day of the month,Voluntary,6 to 10 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,22,Male,High School Diploma,Unlucrative private Health facility,Living alone,1,Nurse Assistant Clinical,Other,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,34,Male,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),3,Pharmacist,Medical Unit,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,0,2,2,1,NA
Yes,Yes,Yes,Yaounde,42,Male,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),3,Allied health professionals,Medical Unit,Almost every day of the month,Fulltime,11 to 15 years,Yes,Yes,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,46,Male,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),3,Allied health professionals,Other,Almost every day of the month,Part time,More than 15 years,No,No,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,36,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),4,Health Assistants,Medical Unit,Almost every day of the month,Part time,11 to 15 years,No,No,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,30,Male,Masters,Lucrative private health Facility,Living alone,1,Medical Doctor,Medical Unit,Almost every day of the month,Fulltime,2 to 5  years,Yes,Yes,No,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,26,Male,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,1,Allied health professionals,Other,Almost every day of the month,Part time,2 to 5  years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,61,Male,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),More than 5,Allied health professionals,Outpatient department,About one day in the month,Voluntary,More than 15 years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,26,Female,Other,Lucrative private health Facility,Living with another (Married - Partnership),1,Nurse,Medical Unit,Almost every day of the month,Part time,2 to 5  years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,29,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Separated/ Divorced/ Widowed,1,Health Assistants,Medical Unit,Almost every day of the month,Part time,11 to 15 years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,27,Male,Masters,Lucrative private health Facility,Living with another (Married - Partnership),1,Medical Doctor,Other,Almost every day of the month,Fulltime,< 1 year,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,28,Female,First University Degree,Lucrative private health Facility,Living alone,1,Nurse,Medical Unit,Almost every day of the month,Fulltime,2 to 5  years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,23,Female,High School Diploma,Lucrative private health Facility,Living alone,2,Health Assistants,Medical Unit,Almost every day of the month,Voluntary,< 1 year,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,25,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Health Assistants,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),< 1 year,No,No,No,No,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,2,NA
Yes,Yes,Yes,Yaounde,37,Female,Masters,Lucrative private health Facility,Living with another (Married - Partnership),4,Health Assistants,Medical Unit,Almost every day of the month,Voluntary,< 1 year,No,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,30,Male,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),2,Health Assistants,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,27,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),1,Nurse,Medical Unit,Almost every day of the month,Part time,2 to 5  years,No,No,No,No,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,2,2,2,-2,2,2,7,NA
Yes,Yes,Yes,Yaounde,23,Female,Other,Lucrative private health Facility,Living alone,1,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,35,Female,High School Diploma,Lucrative private health Facility,Living alone,3,Nurse,Medical Unit,Almost every day of the month,Fulltime,2 to 5  years,Yes,Yes,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
NA,Yes,Yes,Yaounde,31,Male,Masters,Lucrative private health Facility,Living with another (Married - Partnership),4,Physician Assistant,Disease Control,Almost every day of the month,Part time,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2,2,2,-2,-2,-2,1,NA
NA,Yes,Yes,Yaounde,28,Male,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Physician Assistant,Medical Unit,No more than three days during each week,Part time,< 1 year,No,No,No,No,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,-2,-2,1,NA
NA,Yes,Yes,Yaounde,23,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),2,Physician Assistant,Outpatient department,Almost every day of the month,Part time,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,-2,-2,-2,-2,-2,-2,1,NA
NA,Yes,Yes,Yaounde,27,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),1,Nurse,Maternity,Almost every day of the month,Part time,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,2,2,-1,-2,-2,-2,1,NA
NA,Yes,Yes,Yaounde,39,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Disease Control,Almost every day of the month,Fulltime,2 to 5  years,No,No,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,2,2,2,-2,-2,-2,1,NA
Yes,Yes,Yes,Yaounde,23,Male,Masters,Denomitional Health Facility,Living alone,1,Medical Doctor,Outpatient department,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,1,2,0,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,58,Male,Other,Unlucrative private Health facility,Living with another (Married - Partnership),4,Non clinical,Other,Almost every day of the month,Prefer not to say,< 1 year,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,-2,2,2,1,NA
NA,Yes,Yes,Yaounde,25,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Allied health professionals,Other,Almost every day of the month,Fulltime,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,-2,-2,2,2,4,NA
Yes,Yes,Yes,Yaounde,25,Male,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),4,Nurse,Other,Almost every day of the month,Fulltime,< 1 year,No,No,No,No,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2,2,2,-1,1,1,3,NA
Yes,Yes,Yes,Yaounde,30,Male,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),5,Nurse,Other,Almost every day of the month,Fulltime,2 to 5  years,No,Yes,No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1,1,1,-2,-2,2,4,NA
Yes,Yes,Yes,Yaounde,25,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),5,Nurse,Emergency,Almost every day of the month,Fulltime,2 to 5  years,Unsure,Unsure,Unsure,Unsure,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,1,1,0,1,2,0,3,NA
Yes,Yes,Yes,Yaounde,32,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),4,Midwife,Maternity,Almost every day of the month,Fulltime,2 to 5  years,No,No,No,No,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,-1,0,0,-1,-2,-2,4,NA
Yes,Yes,Yes,Yaounde,21,Male,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),1,Physician Assistant,Emergency,Almost every day of the month,Fulltime,< 1 year,No,No,No,No,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,1,0,0,-1,0,0,4,NA
Yes,Yes,Yes,Yaounde,31,Female,First University Degree,Lucrative private health Facility,Living alone,1,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,1,1,1,-2,1,1,4,NA
Yes,Yes,Yes,Yaounde,26,Female,First University Degree,Lucrative private health Facility,Living alone,4,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,Unsure,Unsure,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,2,2,-1,-1,2,2,3,NA
Yes,Yes,Yes,Yaounde,33,Female,First University Degree,Unlucrative private Health facility,Prefer not to say,1,Nurse Assistant Clinical,Outpatient department,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,2,2,2,2,2,2,4,NA
Yes,Yes,Yes,Douala,39,Male,PhD,Lucrative private health Facility,Living with another (Married - Partnership),4,Medical Doctor,Outpatient department,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,2,2,2,1,NA
Yes,Yes,Yes,Douala,38,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,No,No,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,2,1,0,-2,1,1,2,NA
Yes,Yes,Yes,Douala,24,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,1,Health Assistants,Medical Unit,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,-1,0,-2,-2,1,0,2,NA
Yes,Yes,Yes,Douala,23,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,4,Health Assistants,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,Unsure,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,-2,1,-2,-2,1,1,2,NA
Yes,Yes,Yes,Douala,37,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),More than 5,Health Assistants,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,0,1,1,-2,1,1,3,NA
Yes,Yes,Yes,Douala,40,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),5,Midwife,Maternity,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,Yes,Yes,No,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,-2,2,-2,-1,2,2,1,NA
Yes,Yes,Yes,Douala,20,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,1,Health Assistants,Other,Almost every day of the month,Short-term contract (< 13mths),< 1 year,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,NA,-2,2,-1,-2,1,1,1,NA
